model,class,precision,recall,f1,support
random_forest,No Churn,0.8827433628318584,0.7710144927536232,0.8231046931407943,1035
random_forest,Churn,0.5306930693069307,0.7165775401069518,0.6097838452787259,374
random_forest,macro_avg,0.7067182160693946,0.7437960164302875,0.7164442692097601,1409
random_forest,weighted_avg,0.7892963722155893,0.7565649396735273,0.7664815582221188,1409
