model,mean_cv_f1,std_cv_f1,mean_cv_roc_auc,std_cv_roc_auc,cv_folds
logistic_regression,0.6208291297083832,0.02086461794496565,0.843996765659669,0.019197911896404383,5
random_forest,0.6372941876506857,0.018480304856214186,0.8467795754580466,0.012781602797373514,5
hist_gradient_boosting,0.5910779222875702,0.03144718407957555,0.8474845035879397,0.015590057452555001,5
